asn,subnet
AS45916,103.250.149.0/24
AS45916,150.129.204.0/24
AS45916,157.119.204.0/24
AS45916,103.250.160.0/24
AS150311,103.250.29.0/24
AS134970,103.251.247.0/24
AS9498,122.187.237.0/24
AS9498,125.20.237.0/24
AS9498,182.73.44.0/24
AS9498,182.95.230.0/24
AS9498,125.19.183.0/24
AS9498,182.78.242.0/24
AS9498,125.19.221.0/24
AS9498,152.52.213.0/24
AS9498,182.95.175.0/24
AS9498,182.95.181.0/24
AS9498,128.185.187.0/24
AS9498,182.95.178.0/24
AS9498,182.78.159.0/24
AS9498,122.186.255.0/24
AS9498,122.185.100.0/24
AS9498,125.19.182.0/24
AS9498,122.185.44.0/24
AS9498,182.95.116.0/24
AS9498,182.95.41.0/24
AS9498,182.95.109.0/24
AS9498,182.75.119.0/24
AS9498,122.185.145.0/24
AS9498,182.95.89.0/24
AS9498,152.52.246.0/24
AS9498,182.95.42.0/24
AS9498,182.95.91.0/24
AS9498,125.19.156.0/24
AS9498,182.95.186.0/24
AS9498,182.95.12.0/24
AS9498,182.95.228.0/24
AS9498,182.95.180.0/24
AS9498,128.185.244.0/24
AS9498,128.185.227.0/24
AS9498,122.187.234.0/24
AS9498,128.185.254.0/24
AS9498,182.78.86.0/24
AS9498,182.73.109.0/24
AS9498,152.52.158.0/24
AS9498,125.19.220.0/24
AS9498,122.186.64.0/24
AS9498,152.52.220.0/24
AS9498,182.95.184.0/24
AS9498,152.52.232.0/24
AS9498,182.72.102.0/24
AS9498,125.19.251.0/24
AS9498,128.185.12.0/24
AS9498,152.52.224.0/24
AS9498,182.95.110.0/24
